title,description,priority,layer,gherkin_scenarios,acceptance_criteria
"M-01-Ticket-01: Initialize Android Project Structure","Set up project structure with Kotlin, Jetpack Compose, Hilt, and Room dependencies. Configure build.gradle.kts files.",Medium,Infrastructure,"Scenario: Project builds successfully
  Given all dependencies are configured in build.gradle.kts
  When Gradle build runs
  Then build must succeed without errors
  And APK size must be ≤15MB

Scenario: Hilt injection works
  Given Hilt application class is configured
  When app launches
  Then Hilt must initialize without errors","[ ] Project builds successfully with Kotlin 1.9.20+
[ ] Jetpack Compose BOM configured
[ ] Room dependencies added (runtime, compiler, ktx)
[ ] Hilt dependencies added (hilt-android, hilt-compiler)
[ ] ML Kit dependencies added (barcode-scanning, text-recognition)
[ ] WorkManager runtime added
[ ] AndroidManifest.xml with CAMERA permission
[ ] SmartNutriStockApp.kt created as Hilt Application class"
"M-01-Ticket-02: Configure APK Build and Signing","Set up APK build configuration with signing, version management, and ProGuard/R8 rules for ML Kit.",Medium,Infrastructure,"Scenario: APK builds with correct signing
  Given signing configuration is set up
  When assembleRelease task runs
  Then APK must be signed with correct certificate
  And APK must be installable on XCover7

Scenario: Version code increments correctly
  Given versionName=""1.0.0"" and versionCode=1
  When version is incremented
  Then versionName must be ""1.0.1"" and versionCode must be 2","[ ] Release keystore generated and configured
[ ] Signing configuration in build.gradle.kts
[ ] VersionName and VersionCode set up
[ ] ProGuard/R8 rules for ML Kit configured
[ ] APK output directory configured
[ ] Build variants (debug, release) configured
[ ] minSdk 34, targetSdk 34, compileSdk 34"
"M-02-Ticket-01: Create ProductCatalogEntity with @Index","Implement Room entity for product catalog with @Index on EAN for optimized lookups.",High,Data,"Scenario: Lookup product by EAN in <500ms
  Given database contains product with EAN=""8435489901234""
  When user queries by EAN=""8435489901234""
  Then the product must be returned within 500ms
  And the result must contain name=""Protein Bar Chocolate"" and packSize=20

Scenario: Handle non-existent EAN
  Given database does not contain EAN=""9999999999999""
  When user queries by EAN=""9999999999999""
  Then the result must be null
  And the query must complete within 500ms","[ ] ProductCatalogEntity with @Entity annotation
[ ] @PrimaryKey for ean field
[ ] name (String) field
[ ] packSize (Int, default=1) field
[ ] @Index(value = [""ean""]) for O(log n) lookups
[ ] AppDatabase updated with ProductCatalogEntity"
"M-02-Ticket-02: Create ProductCatalogDao","Implement DAO with findByEan() and insertOrReplace() methods for dynamic registration.",High,Data,"Scenario: findByEan returns product when exists
  Given database contains product with EAN=""8435489901234""
  When findByEan is called with ""8435489901234""
  Then the product must be returned
  And name must be ""Protein Bar Chocolate""

Scenario: insertOrReplace handles duplicate EAN
  Given database contains EAN=""8435489901234""
  When insertOrReplace is called with same EAN but different name
  Then the existing record must be updated
  And no duplicate records must be created","[ ] findByEan(ean: String): ProductCatalogEntity? method
[ ] insertOrReplace(product: ProductCatalogEntity) with REPLACE strategy
[ ] getAll(): Flow<List<ProductCatalogEntity>> method
[ ] Integration tests for findByEan()
[ ] Integration tests for insertOrReplace()"
"M-02-Ticket-03: Create ProductRepository Interface","Define ProductRepository interface for dynamic registration with registerProduct() method.",High,Data,"Scenario: ProductRepository interface is defined
  Given ProductRepository interface is created
  When interface is inspected
  Then it must have findByEan() method
  And it must have registerProduct() method
  And it must return RegisterResult sealed class","[ ] ProductRepository interface created
[ ] findByEan(ean: String): Product? method
[ ] registerProduct(product: Product): RegisterResult method
[ ] RegisterResult sealed class with Success and Failure types
[ ] Failure types: InvalidEan, InvalidName, InvalidPackSize, DuplicateProduct, DatabaseError"
"M-02-Ticket-04: Create ProductRepositoryImpl","Implement ProductRepository with Room DAO integration and RegisterResult handling.",High,Data,"Scenario: registerProduct saves successfully
  Given repository is initialized with DAO
  When registerProduct is called with valid product
  Then product must be saved to database
  And RegisterResult.Success must be returned

Scenario: registerProduct handles database error
  Given database is locked or unavailable
  When registerProduct is called
  Then RegisterResult.Failure.DatabaseError must be returned
  And product must not be saved","[ ] ProductRepositoryImpl injects ProductCatalogDao
[ ] findByEan() maps Entity to Domain Model
[ ] registerProduct() handles validation errors
[ ] registerProduct() calls dao.insertOrReplace()
[ ] Returns RegisterResult.Success on success
[ ] Returns RegisterResult.Failure on error
[ ] Write unit tests for repository"
"M-02-Ticket-05: Create Hilt Modules (Database and UseCase)","Configure Hilt modules for production and test environments with database and use case injection.",High,Data,"Scenario: Hilt provides production database
  Given app is running in production mode
  When DatabaseModule provides database
  Then Room database must be created on disk
  And DAOs must be injectable

Scenario: Hilt provides test database
  Given test is running with Hilt
  When FakeDatabaseModule is installed
  Then in-memory database must be created
  And main thread queries must be allowed","[ ] DatabaseModule.kt for production Room database
[ ] FakeDatabaseModule.kt for test in-memory database
[ ] UseCaseModule.kt for providing use cases
[ ] @TestInstallIn for test module replacement
[ ] provideProductRepository() in DatabaseModule
[ ] provideRegisterProductUseCase() in UseCaseModule"
"M-03-Ticket-01: Implement RegisterProductUseCase (TDD)","Create a use case in the Domain layer that handles dynamic product registration with full validation logic. TDD approach: Write tests BEFORE implementation.",High,Domain,"Scenario: Registro exitoso con datos válidos
  Given el operador escanea un EAN válido de 13 dígitos
  And el operador ingresa ""Arroz Blanco La Campaña"" como nombre
  And el operador ingresa ""1000"" como pack size
  When el sistema valida los datos
  Then el producto se guarda exitosamente
  And se retorna RegisterResult.Success con el producto

Scenario: Error por EAN inválido
  Given el operador escanea un código con 12 dígitos
  When el sistema valida el formato del EAN
  Then se retorna RegisterResult.Failure.InvalidEan
  And el mensaje de error es ""El código debe tener 13 dígitos""

Scenario: Error por nombre muy corto
  Given el operador ingresa nombre ""AB""
  When el sistema valida el nombre
  Then se retorna RegisterResult.Failure.InvalidName
  And el mensaje de error es ""El nombre debe tener al menos 3 caracteres""

Scenario: Error por packSize negativo
  Given el operador ingresa packSize ""-5""
  When el sistema valida el packSize
  Then se retorna RegisterResult.Failure.InvalidPackSize
  And el mensaje de error es ""El tamaño del pack debe ser positivo""

Scenario: Error por EAN duplicado
  Given ya existe un producto con EAN ""8435489901234""
  When el operador intenta registrar el mismo EAN
  Then se retorna RegisterResult.Failure.DuplicateProduct
  And el mensaje incluye el nombre del producto existente","[ ] Validates EAN format (13 digits)
[ ] Validates product name length (3-100 characters)
[ ] Validates packSize (positive integer > 0)
[ ] Checks for duplicate EAN before registration
[ ] Returns RegisterResult with appropriate Success/Failure types
[ ] All error messages are in Spanish
[ ] UNIT TESTING (MANDATORY): ≥90% coverage for this use case"
"M-03-Ticket-02: Create Product Domain Model","Define Product domain model and ValidationError sealed class for use case results.",High,Domain,"Scenario: Product domain model is defined
  Given Product data class is created
  When model is inspected
  Then it must have ean field (String)
  And it must have name field (String)
  And it must have packSize field (Int)","[ ] Product data class with ean, name, packSize
[ ] RegisterProductRequest data class with userId
[ ] ValidationError sealed class with all error types
[ ] Error messages in Spanish
[ ] RegisterResult sealed class with Success and Failure"
"M-04-Ticket-01: Implement ParseExpiryDateUseCase (TDD)","Implement date parsing use case following TDD methodology (tests first). Parse MM/YY format to day 1 of that month.",High,Domain,"Scenario: Parse ""07/26"" → 01/07/2026 (day 1, not day 31)
  Given a date parser is implemented following TDD
  When parsing ""07/26""
  Then the result must be ""2026-07-01"" (1st day of July)
  And unit tests must be written BEFORE implementation

Scenario: Parse invalid format returns null
  Given input is ""13/26"" (invalid month)
  When parsing ""13/26""
  Then the result must be null
  And the use case must handle error gracefully","[ ] Parses ""07/26"" → ""2026-07-01"" (day 1, not day 31)
[ ] Returns null for invalid formats
[ ] Handles month boundaries (01/01 - 12/99)
[ ] UNIT TESTING (MANDATORY): ≥90% coverage"
